Member since,Gender,Profession,Salary,Zip code
2022-05-15,Male,Product manager,79000,30774
2021-10-02,Female,Charity officer,120000,25796
2023-05-29,Male,Agricultural engineer,133000,28822
2021-11-25,Male,Transport planner,83000,27648
2022-06-21,Male,Writer,94000,30940
2022-06-21,Female,Clothing/textile technologist,103000,26771
2023-09-09,Female,"Surveyor, commercial/residential",84000,27952
2022-09-15,Female,Chief Marketing Officer,117000,25879
2021-10-03,Male,"Engineer, materials",78000,27132
2022-07-05,Female,Agricultural engineer,123000,28189
2022-02-17,Male,Advertising copywriter,70000,28652
2021-09-29,Female,"Librarian, public",145000,29901
2022-09-22,Female,Risk manager,66000,26207
2023-01-10,Female,Dance movement psychotherapist,85000,26526
2021-09-26,Female,Retail merchandiser,119000,28727
2022-08-13,Female,Multimedia specialist,116000,29430
2022-05-07,Female,Geographical information systems officer,68000,28233
2022-04-01,Male,Records manager,63000,26657
2023-08-12,Female,Energy manager,143000,28154
2022-08-08,Male,"Scientist, research (physical sciences)",71000,28705
2022-10-19,Male,"Scientist, water quality",114000,29162
2022-03-10,Female,Hospital doctor,81000,29905
2023-02-22,Male,"Scientist, biomedical",118000,26189
2023-05-14,Male,Public relations account executive,76000,29515
2022-01-20,Female,Insurance claims handler,80000,29662
2022-04-20,Male,General practice doctor,114000,27817
2021-10-29,Male,Maintenance engineer,116000,29032
2023-01-03,Male,Speech and language therapist,135000,26747
2022-06-06,Male,"Solicitor, Scotland",137000,29317
2022-02-18,Female,"Engineer, petroleum",120000,25894
2022-03-31,Male,Airline pilot,92000,25950
2023-09-17,Female,Water quality scientist,111000,28740
2023-08-22,Female,Neurosurgeon,63000,26576
2022-08-19,Male,Charity fundraiser,88000,26653
2023-06-03,Male,Podiatrist,78000,25903
2022-11-30,Male,Hospital doctor,77000,26838
2021-11-17,Female,Chief Strategy Officer,129000,28446
2023-04-19,Female,"Presenter, broadcasting",136000,30787
2022-03-14,Female,"Nurse, learning disability",102000,28307
2022-07-03,Male,"Designer, furniture",82000,27062
2022-01-17,Female,Immigration officer,129000,26233
2023-09-22,Male,Planning and development surveyor,78000,25826
2022-07-13,Female,"Scientist, research (maths)",84000,27103
2022-03-11,Female,Energy engineer,65000,26387
2022-12-21,Male,Astronomer,116000,27661
2022-08-06,Female,"Teacher, English as a foreign language",98000,26966
2023-07-03,Male,Psychotherapist,124000,28942
2022-01-09,Male,"Optician, dispensing",122000,27201
2022-02-26,Male,Purchasing manager,127000,27686
2022-11-12,Male,Structural engineer,67000,25582
2021-12-24,Male,Maintenance engineer,128000,26583
2021-10-19,Female,Ranger/warden,150000,27518
2022-11-16,Male,"Engineer, maintenance",137000,29888
2021-10-22,Female,"Civil engineer, consulting",120000,26067
2023-01-01,Female,Arts administrator,109000,25834
2022-09-30,Female,Hydrologist,124000,28473
2021-12-08,Male,"Engineer, land",76000,30439
2022-11-14,Male,Film/video editor,107000,27471
2021-12-18,Female,Tree surgeon,87000,30544
2022-10-29,Female,Tax inspector,133000,28779
2022-05-04,Female,Commissioning editor,131000,29864
2023-04-13,Male,"Research officer, political party",115000,26137
2023-01-22,Male,"Surveyor, minerals",87000,28962
2022-10-15,Female,Industrial buyer,119000,26194
2022-09-07,Male,Psychiatrist,112000,28683
2023-04-03,Female,Ambulance person,66000,27642
2022-05-14,Male,Communications engineer,133000,26649
2023-01-04,Male,Physiological scientist,122000,27714
2021-11-04,Male,Cabin crew,93000,25654
2023-01-28,Female,Bonds trader,101000,27373
2022-07-25,Female,Wellsite geologist,143000,30695
2022-11-14,Female,"Horticulturist, commercial",65000,30887
2022-06-20,Male,Animal technologist,130000,27553
2022-04-29,Male,Environmental manager,90000,27171
2021-11-15,Male,"Optician, dispensing",128000,26701
2022-10-20,Female,"Optician, dispensing",131000,25740
2022-07-18,Female,"Psychologist, prison and probation services",75000,26628
2023-02-06,Female,Fashion designer,89000,28029
2022-09-17,Male,Animator,146000,30552
2023-08-29,Female,Tax adviser,98000,30471
2022-05-15,Female,Environmental consultant,107000,29603
2022-05-10,Female,Advice worker,114000,28771
2023-01-04,Female,Warden/ranger,78000,25717
2023-09-04,Female,Arboriculturist,141000,30226
2022-01-15,Female,"Engineer, energy",126000,28444
2023-07-01,Female,Health service manager,112000,26685
2022-04-08,Female,Dispensing optician,134000,29470
2023-08-13,Male,"Designer, furniture",80000,29955
2022-09-22,Female,Heritage manager,98000,29250
2022-04-05,Female,Higher education careers adviser,96000,30217
2023-03-03,Male,Immigration officer,83000,25906
2022-09-24,Male,"Scientist, marine",96000,30051
2022-12-23,Female,"Designer, television/film set",132000,30119
2022-10-27,Male,Forensic psychologist,95000,29555
2022-11-04,Male,Brewing technologist,78000,26511
2021-10-22,Female,Educational psychologist,105000,28163
2021-10-16,Female,Government social research officer,89000,28836
2022-12-22,Male,IT technical support officer,122000,26015
2022-02-12,Female,Clinical molecular geneticist,80000,25793
2022-09-02,Female,Water quality scientist,85000,29750
2021-10-05,Male,Marine scientist,146000,29314
2021-11-25,Male,"Engineer, automotive",146000,27782
2022-09-28,Female,"Surveyor, building",81000,29837
2023-06-08,Female,"Designer, ceramics/pottery",122000,29420
2021-12-24,Female,Geochemist,96000,28927
2022-12-31,Female,Professor Emeritus,98000,26089
2023-09-12,Female,Theatre manager,130000,30288
2023-02-08,Female,Town planner,87000,27434
2022-08-19,Male,Animator,136000,30158
2022-12-07,Male,Counsellor,71000,26691
2022-04-27,Male,Equities trader,98000,27478
2023-03-28,Female,"Designer, blown glass/stained glass",105000,26926
2023-02-09,Female,Civil Service administrator,96000,26276
2022-07-18,Male,Database administrator,71000,27564
2023-01-12,Male,Textile designer,95000,29469
2022-11-07,Female,Music therapist,102000,28281
2023-02-25,Male,Field seismologist,89000,30489
2022-06-25,Female,Armed forces training and education officer,109000,28605
2021-12-24,Female,"Editor, film/video",133000,29392
2023-03-26,Male,"Surveyor, commercial/residential",80000,28367
2023-09-01,Male,Chief Operating Officer,148000,27494
2022-12-13,Male,Multimedia programmer,80000,30421
2022-08-24,Male,"Sound technician, broadcasting/film/video",134000,25834
2023-01-04,Male,Water quality scientist,66000,30693
2021-11-16,Male,Medical illustrator,131000,30340
2022-09-11,Female,Secretary/administrator,128000,27391
2022-11-28,Male,"Designer, exhibition/display",124000,29194
2021-12-11,Female,Land,127000,26841
2021-11-08,Male,"Doctor, hospital",65000,27826
2023-06-01,Female,"Scientist, forensic",83000,30417
2023-08-07,Female,Medical technical officer,95000,25812
2022-03-10,Male,"Engineer, technical sales",137000,26611
2021-10-15,Female,"Journalist, magazine",118000,27528
2023-07-30,Male,Commercial/residential surveyor,120000,26334
2023-04-05,Female,"Scientist, forensic",99000,26703
2022-06-04,Male,Trading standards officer,73000,28877
2021-12-25,Female,"Scientist, research (life sciences)",119000,29012
2022-06-10,Male,Licensed conveyancer,115000,30312
2022-09-16,Female,Chiropractor,75000,29554
2021-12-11,Male,Astronomer,113000,26904
2021-12-24,Female,Chief Executive Officer,123000,27558
2022-01-20,Female,Research scientist (medical),129000,28157
2021-10-09,Female,IT sales professional,62000,26202
2023-07-20,Male,Oncologist,92000,25978
2023-02-18,Female,"Exhibitions officer, museum/gallery",83000,30105
2022-10-18,Male,Newspaper journalist,73000,27391
2023-01-02,Female,"Editor, film/video",142000,26083
2023-01-17,Male,Retail merchandiser,80000,28565
2022-11-24,Male,Bonds trader,77000,26020
2021-12-11,Male,Actor,135000,29862
2022-06-22,Female,Ship broker,139000,28348
2023-08-19,Male,Public librarian,82000,29931
2022-09-17,Male,Fish farm manager,89000,26825
2023-04-23,Female,Podiatrist,138000,27024
2022-11-01,Male,Marine scientist,75000,29119
2022-06-25,Male,"Programme researcher, broadcasting/film/video",107000,27174
2023-06-08,Male,Forensic psychologist,94000,26300
2022-01-03,Male,Fine artist,112000,28193
2023-09-18,Male,Theatre manager,74000,29264
2021-10-07,Male,Insurance broker,64000,30480
2022-07-25,Male,"Scientist, water quality",117000,30593
2023-09-13,Female,Customer service manager,83000,30406
2022-07-08,Male,Medical technical officer,69000,28009
2023-06-01,Male,"Research officer, government",82000,29459
2023-01-21,Male,"Production assistant, television",145000,30471
2022-08-17,Female,Theme park manager,134000,28814
2022-06-03,Female,Biomedical scientist,136000,26735
2022-01-04,Male,Corporate investment banker,64000,26310
2023-08-11,Female,Housing manager/officer,94000,30335
2023-02-26,Male,Land,112000,28209
2022-08-10,Female,"Surveyor, building",119000,29589
2023-08-03,Male,"Therapist, music",77000,29339
2023-05-22,Male,"Engineer, structural",146000,25698
2021-11-30,Male,"Administrator, education",77000,27171
2022-03-27,Female,"Scientist, research (maths)",122000,29217
2022-01-06,Female,Garment/textile technologist,149000,27880
2022-12-14,Male,"Designer, exhibition/display",81000,27356
2022-10-18,Female,Glass blower/designer,105000,29858
2023-01-15,Female,"Runner, broadcasting/film/video",132000,29613
2022-11-08,Female,Secondary school teacher,85000,29522
2021-09-26,Male,"Nurse, children's",87000,30690
2022-03-28,Female,Publishing rights manager,131000,25638
2021-10-17,Female,"Engineer, drilling",73000,30099
2022-11-25,Male,Information officer,117000,28208
2023-07-29,Female,International aid/development worker,66000,25606
2023-08-18,Female,Quantity surveyor,82000,29539
2022-08-04,Female,Contractor,121000,25597
2022-02-07,Female,"Loss adjuster, chartered",72000,26672
2022-04-30,Female,Retail manager,62000,30345
2021-10-02,Male,Press sub,132000,28306
2022-04-26,Female,Systems developer,148000,28274
2022-01-26,Female,"Development worker, international aid",75000,26774
2022-12-03,Male,"Social research officer, government",133000,29336
2022-04-27,Male,Curator,117000,30602
2022-09-02,Female,Banker,122000,29107
2022-11-06,Female,Personnel officer,80000,26640
2023-03-13,Female,"Presenter, broadcasting",65000,27065
2023-01-31,Female,Consulting civil engineer,74000,29297
2022-09-04,Female,Exhibition designer,76000,29228
2022-06-21,Male,Industrial buyer,140000,29398
